SourceLabel,SourceID,Relation Label,Relation ID,TargetLabel,TargetID
Poltergeist (1982),https://www.wikidata.org/wiki/Q497622,uses,https://www.wikidata.org/wiki/Property:P2283,Skeleton,https://en.wikipedia.org/wiki/Skeleton
Poltergeist (1982),https://www.wikidata.org/wiki/Q497622,significant event,https://www.wikidata.org/wiki/Property:P793,strangling,https://www.wikidata.org/wiki/Q1145328
Dominique Dunne,https://www.wikidata.org/wiki/Q254596,significant event,https://www.wikidata.org/wiki/Property:P793,strangling,https://www.wikidata.org/wiki/Q1145328
Dominique Dunne,https://www.wikidata.org/wiki/Q254596,cause of death,https://www.wikidata.org/wiki/Property:P509,coma,https://www.wikidata.org/wiki/Q159557
Poltergeist (1982),https://www.wikidata.org/wiki/Q497622,number of deaths,https://www.wikidata.org/wiki/Property:P509,2,
Poltergeist (1982),https://www.wikidata.org/wiki/Q497622,number of injured,https://www.wikidata.org/wiki/Property:P1339,1,
Heather O'Rourke,https://www.wikidata.org/wiki/Q230965,cause of death,https://www.wikidata.org/wiki/Property:P509,septic shock,https://www.wikidata.org/wiki/Q1765564
Poltergeist (1982),https://www.wikidata.org/wiki/Q497622,has quality,https://www.wikidata.org/wiki/Property:P1552,curse,https://www.wikidata.org/wiki/Q109411
Poltergeist (1982),https://www.wikidata.org/wiki/Q497622,has quality,https://www.wikidata.org/wiki/Property:P1552,paranormal phenomenon,https://www.wikidata.org/wiki/Q332102
Zelda Rubinstein,https://www.wikidata.org/wiki/Q187345,significant event,https://www.wikidata.org/wiki/Property:P793,paranormal phenomenon,https://www.wikidata.org/wiki/Q332102
The Wizard of Oz,https://www.wikidata.org/wiki/Q193695,has quality,https://www.wikidata.org/wiki/Property:P1552,curse,https://www.wikidata.org/wiki/Q109411
Margaret Hamilton,https://www.wikidata.org/wiki/Q257756,significant event,https://www.wikidata.org/wiki/Property:P793,burn,https://www.wikidata.org/wiki/Q170518
Betty Danko,https://www.wikidata.org/wiki/Q98609857,significant event,https://www.wikidata.org/wiki/Property:P793,burn,https://www.wikidata.org/wiki/Q170518
The Wizard of Oz,https://www.wikidata.org/wiki/Q193695,cast member,https://www.wikidata.org/wiki/Property:P161,Betty Danko,https://www.wikidata.org/wiki/Q98609857
The Wizard of Oz,https://www.wikidata.org/wiki/Q193695,cast member,https://www.wikidata.org/wiki/Property:P161,Buddy Ebsen,https://www.wikidata.org/wiki/Q1001214
Buddy Ebsen,https://www.wikidata.org/wiki/Q1001214,significant event,https://www.wikidata.org/wiki/Property:P793,pulmonary fibrosis,https://www.wikidata.org/wiki/Q32446
The Wizard of Oz,https://www.wikidata.org/wiki/Q193695,cast member,https://www.wikidata.org/wiki/Property:P161,Winged monkeys,https://en.wikipedia.org/wiki/Winged_monkeys
Winged monkeys,https://en.wikipedia.org/wiki/Winged_monkeys,significant event,https://www.wikidata.org/wiki/Property:P793,bone fracture,https://www.wikidata.org/wiki/Q68833
Terry,https://www.wikidata.org/wiki/Q7704028,significant event,https://www.wikidata.org/wiki/Property:P793,sprain,https://www.wikidata.org/wiki/Q470747
The Wizard of Oz,https://www.wikidata.org/wiki/Q193695,number of injured,https://www.wikidata.org/wiki/Property:P1339,5,
The Alamo,https://www.wikidata.org/wiki/Q1621909,has quality,https://www.wikidata.org/wiki/Property:P1552,curse,https://www.wikidata.org/wiki/Q109411
The Alamo,https://www.wikidata.org/wiki/Q1621909,significant event,https://www.wikidata.org/wiki/Property:P793,typhoon,https://www.wikidata.org/wiki/Q140588
The Alamo,https://www.wikidata.org/wiki/Q1621909,significant event,https://www.wikidata.org/wiki/Property:P793,conflagration,https://www.wikidata.org/wiki/Q168983
The Alamo,https://www.wikidata.org/wiki/Q1621909,significant event,https://www.wikidata.org/wiki/Property:P793,car accident,https://www.wikidata.org/wiki/Q61037771
