Label,PropertyValue
Poltergeist (1982),https://www.wikidata.org/wiki/Q497622
Dominique Dunne,https://www.wikidata.org/wiki/Q254596
Heather O'Rourke,https://www.wikidata.org/wiki/Q230965
Zelda Rubinstein,https://www.wikidata.org/wiki/Q187345
The Wizard of Oz,https://www.wikidata.org/wiki/Q193695
Margaret Hamilton,https://www.wikidata.org/wiki/Q257756
Betty Danko,https://www.wikidata.org/wiki/Q98609857
Buddy Ebsen,https://www.wikidata.org/wiki/Q1001214
Winged monkeys,https://en.wikipedia.org/wiki/Winged_monkeys
Terry,https://www.wikidata.org/wiki/Q7704028
The Alamo,https://www.wikidata.org/wiki/Q1621909
Laurence Harvey,https://www.wikidata.org/wiki/Q374045
Lajean Ethridge,https://www.imdb.com/name/nm0253173/
The Sixth Sense,https://www.wikidata.org/wiki/Q183063
Toni Collette,https://www.wikidata.org/wiki/Q229291
Shelley Duvall,https://www.wikidata.org/wiki/Q235478
Stanley Kubrick,https://www.wikidata.org/wiki/Q2001
The Shining,https://www.wikidata.org/wiki/Q186341
The Amityville Horror,https://www.wikidata.org/wiki/Q472512
James Brolin,https://www.wikidata.org/wiki/Q315051
Steve McQueen,https://www.wikidata.org/wiki/Q159347
Charles Manson,https://www.wikidata.org/wiki/Q485508
Le Mans,https://www.wikidata.org/wiki/Q613290
Derek Bell,https://www.wikidata.org/wiki/Q165814
Louise Edlind Friberg,https://www.wikidata.org/wiki/Q438138
Computer Fraud and Abuse Act,https://www.wikidata.org/wiki/Q5157437
John William Vessey,https://www.wikidata.org/wiki/Q562902
Aaron Swartz,https://www.wikidata.org/wiki/Q302817
War Games,https://www.wikidata.org/wiki/Q504697
Skeleton,https://en.wikipedia.org/wiki/Skeleton
strangling,https://www.wikidata.org/wiki/Q1145328
coma,https://www.wikidata.org/wiki/Q159557
2,
1,
septic shock,https://www.wikidata.org/wiki/Q1765564
curse,https://www.wikidata.org/wiki/Q109411
paranormal phenomenon,https://www.wikidata.org/wiki/Q332102
burn,https://www.wikidata.org/wiki/Q170518
pulmonary fibrosis,https://www.wikidata.org/wiki/Q32446
bone fracture,https://www.wikidata.org/wiki/Q68833
sprain,https://www.wikidata.org/wiki/Q470747
5,
typhoon,https://www.wikidata.org/wiki/Q140588
conflagration,https://www.wikidata.org/wiki/Q168983
car accident,https://www.wikidata.org/wiki/Q61037771
influenza,https://www.wikidata.org/wiki/Q2840
stabbing,https://www.wikidata.org/wiki/Q464643
3,
Isolation to facilitate abuse,https://www.wikidata.org/wiki/Q28135040
psychological stress,https://www.wikidata.org/wiki/Q3500368
alopecia,https://www.wikidata.org/wiki/Q2697787
bully,https://www.wikidata.org/wiki/Q107364758
film based on actual events,https://www.wikidata.org/wiki/Q28146524
conspiracy,https://www.wikidata.org/wiki/Q930164
divorce,https://www.wikidata.org/wiki/Q93190
amputation,https://www.wikidata.org/wiki/Q477415
internet security,https://www.wikidata.org/wiki/Q1070427
computer fraud,https://www.wikidata.org/wiki/Q1122388
suicide,https://www.wikidata.org/wiki/Q10737
